State,Dem,Rep,%counted
Calif,65,33,89
N.Y,56,43,84
Ill,55,43,90
Va,54,44,99
Wash,59,39,96
N.J,58,40,80
Mass,65,33,93
Minn,53,45,99
Colo,55,42,95
Md,64,35,80
Ore,56,40,97
Conn,59,39,97
N.M,54,44,99
N.H,53,46,99
Maine,54,43,91
Hawaii,64,34,99
R.I,59,39,97
Del,59,40,99
Vt,65,32,95
D.C,93,5,80
Pa,50,49,98
Mich,51,48,99
Ariz,50,49,98
Wis,49,49,99
Nev,50,48,97
Texas,46,52,99
Fla,48,51,99
Ohio,45,53,95
N.C,49,50,98
Ga,50,49,99
Iowa,45,53,98
Tenn,37,61,99
Ind,41,57,99
Mo,41,57,99
S.C,43,55,99
Ala,37,62,99
Ky,36,62,98
La,40,59,99
Okla,32,65,99
Kan,41,56,99
Utah,38,58,96
Ark,35,63,99
Miss,39,60,96
Neb,39,59,99
Idaho,33,64,99
W.Va,30,69,99
Mont,40,57,99
S.D,36,62,99
N.D,32,65,99
Wyo,27,70,99
Alaska,33,63,56
