State;MatchedAbbreviation;FullName;ElectoralVotes
Ala;AL;Alabama;9
Alaska;AK;Alaska;3
Ariz;AZ;Arizona;11
Ark;AR;Arkansas;6
Calif;CA;California;55
Colo;CO;Colorado;9
Conn;CT;Connecticut;7
Del;DE;Delaware;3
D.C;DC;District of Columbia;3
Fla;FL;Florida;29
Ga;GA;Georgia;16
Hawaii;HI;Hawaii;4
Idaho;ID;Idaho;4
Ill;IL;Illinois;20
Ind;IN;Indiana;11
Iowa;IA;Iowa;6
Kan;KS;Kansas;6
Ky;KY;Kentucky;8
La;LA;Louisiana;8
Maine;ME;Maine;4
Md;MD;Maryland;10
Mass;MA;Massachusetts;11
Mich;MI;Michigan;16
Minn;MN;Minnesota;10
Miss;MS;Mississippi;6
Mo;MO;Missouri;10
Mont;MT;Montana;3
Neb;NE;Nebraska;5
Nev;NV;Nevada;6
N.H;NH;New Hampshire;4
N.J;NJ;New Jersey;14
N.M;NM;New Mexico;5
N.Y;NY;New York;29
N.C;NC;North Carolina;15
N.D;ND;North Dakota;3
Ohio;OH;Ohio;18
Okla;OK;Oklahoma;7
Ore;OR;Oregon;7
Pa;PA;Pennsylvania;20
R.I;RI;Rhode Island;4
S.C;SC;South Carolina;9
S.D;SD;South Dakota;3
Tenn;TN;Tennessee;11
Texas;TX;Texas;38
Utah;UT;Utah;6
Vt;VT;Vermont;3
Va;VA;Virginia;13
Wash;WA;Washington;12
W.Va;WV;West Virginia;5
Wis;WI;Wisconsin;10
Wyo;WY;Wyoming;3
